Gene	cuffdiff_ctrl_FPKM	cuffdiff_exp_FPKM	cuffdiff_log2	cuffdiff_test_stat	cuffdiff_p_value	cuffdiff_q_value	edger_logFC	edger_logCPM	edger_PValue	edger_FDR	deseq2_baseMean	deseq2_log2FoldChange	deseq2_lfcSE	deseq2_pvalue	deseq2_padj	bayseq_library_522	bayseq_library_523	bayseq_library_524	bayseq_library_525	bayseq_likelihood	bayseq_FDR	
SLC22A4	2.70144	2.88491	0.0947973	0.1181	0.8652	0.999798	0.720119446061817	3.2189111660944	0.0259107620780974	0.671977647178687	0.592901557258253	280.124150330562	0.243332405255621	0.0148264369513122	0.670985230668584	201	202	446	294	0.0550996709577653	0.766641596905451	
LOC100857577	NULL	NULL	NULL	NULL	NULL	NULL	5.14494012147339	-2.84590358267567	0.00567094806356583	0.267462988537824	0.169145083743312	2.17771320725546	0.147275307484198	0.25076391322042	0.999162683775631	0	0	0	9	0.0320101319232457	0.843566258762266	
ECEL1	NULL	NULL	NULL	NULL	NULL	NULL	-1.33871049805839	1.43734031317677	0.000193432595349315	0.0220513158698219	-0.968685835877943	80.4341616716011	0.285486135145573	0.000691039036824514	0.0977301957829069	93	128	40	56	0.0905951478334943	0.646486639959928	
GYLTL1B	NULL	NULL	NULL	NULL	NULL	NULL	0.455426305060779	4.56452148620509	0.147191791613115	1	0.407502403507145	715.380951496617	0.195211580318488	0.0368437800052706	0.999162683775631	539	613	980	773	0.0722006918847518	0.709298054164729	
NIF3L1	NULL	NULL	NULL	NULL	NULL	NULL	-0.605623705299759	2.72015734296484	0.0641963526481934	1	-0.521925918111472	198.114144451136	0.22191745451227	0.0186781899270662	0.74965750071182	230	225	170	162	0.0532286371480255	0.772188110009063	
FAM18A	1.83378	1.18746	-0.626944	-0.872676	0.32435	0.999798	1.21039878303231	0.536727521110397	0.00257098805845956	0.154389643465467	0.774223396771093	41.7533754758315	0.306556731612324	0.0115518368187208	0.597635154595768	22	26	53	70	0.10134980610808	0.622007815312789	
LOC101747510	NULL	NULL	NULL	NULL	NULL	NULL	1.61772225641023	-1.81359841324411	0.0218400927593067	0.604418947190014	0.353440773122132	6.46066056106312	0.267912864968123	0.187089631646528	0.999162683775631	2	4	16	5	0.0153241731490646	0.920171529864186	
CZH9orf84	NULL	NULL	NULL	NULL	NULL	NULL	-5.11401314320972	-2.92596459659342	0.0104710655463004	0.388888807170788	-0.287306845735283	2.05268529979896	0.184440678084335	0.119299749611405	0.999162683775631	2	6	0	0	0.177025868317883	0.462799806217666	
LOC100859134	NULL	NULL	NULL	NULL	NULL	NULL	-4.8329809287198	0.0318854354404409	1.54881423872707e-16	1.73776957585178e-13	-2.02537264945295	29.637128298852	0.319550124174041	2.32464699607031e-10	1.55443828282972e-07	57	52	3	1	0.957701783092812	0.0142700697884905	
ALOX5	NULL	NULL	NULL	NULL	NULL	NULL	-0.597071506295102	2.77939673505222	0.0665699319155063	1	-0.518347505729442	206.441527191483	0.217609536448616	0.0172185558236463	0.72780713811827	228	246	171	176	0.071577685213439	0.711035825244259	
ENTPD8	19.7651	11.8852	-0.733789	-1.22379	0.08525	0.999798	1.0748065648938	4.26796135203391	0.00073230174048323	0.0614614508016594	0.912696336276208	581.627604523509	0.228876030101358	6.67078763762221e-05	0.0157236023608454	276	444	865	804	0.520247811777859	0.159540385430919	
LOC101748559	1.73238	4.04522	1.22346	0.596301	0.49545	0.999798	-0.720271162656505	4.28793257957374	0.0226198597569398	0.608851225124297	-0.541835352856664	590.797107138482	0.27638584438552	NA	NA	685	716	317	619	0.0426350267961684	0.804189214690187	
LOC101748552	NULL	NULL	NULL	NULL	NULL	NULL	0.957145835007812	0.412397863816865	0.0173061823300253	0.538814685499409	0.499519922442963	38.1956500238188	0.319143996554117	0.117539151122991	0.999162683775631	32	17	70	37	0.00714990894686367	0.952162806937543	
LOC101748556	NULL	NULL	NULL	NULL	NULL	NULL	3.44519314872681	-0.715098610194917	1.06445568051531e-08	3.66001067697182e-06	0.49337028454597	16.2572219806284	0.24610947717841	0.0449974688695055	0.999162683775631	1	4	2	60	0.0186204882241612	0.905955288464923	
LOC100858664	NULL	NULL	NULL	NULL	NULL	NULL	0.897046569038676	1.50063643017265	0.0112914385706565	0.405237184258006	0.5163522746862	83.509161691479	0.315665695870557	0.101890519058991	0.999162683775631	58	53	172	60	0.0070304749524108	0.952553434591122	
TMEFF1	NULL	NULL	NULL	NULL	NULL	NULL	-0.755474307309741	1.54583445535192	0.031632482419272	0.760249447817408	-0.507426266589391	86.5861277516481	0.299745870944506	0.0904830895624208	0.999162683775631	70	140	59	77	0.00726921349400315	0.951788575510178	
C9ORF4	NULL	NULL	NULL	NULL	NULL	NULL	-0.728115498642797	5.40136198311902	0.0198307296258958	0.580366524183935	-0.641495701798952	1280.58553696005	0.208347810781183	0.0020772080058973	0.207102277744747	1607	1425	1152	890	0.0837317367210635	0.659623837783781	
